pi_1,pi_2,pi_3,pi_4,cloud_fraction
0.005895505732934629,-0.0004407138607685817,0.04946939063089488,0.0012271441929968786,0.2021484375
0.08544100925600648,0.0033786944430085927,0.04265938722786092,0.0010123560605833587,0.022031250000000002
-0.257308611524584,-0.00921976938208954,0.08726900570221197,0.0003794587087771724,0.9539794921875
0.1858208937600833,0.008838998322415963,0.039295273318319494,0.001091984430358034,0.013671875
-0.2646710689904479,-0.00926025936608246,0.6467787115906072,0.008589376147086315,0.8135986328125
0.6365000538019707,0.03246150526584831,0.032240196653489775,0.0010968285405819319,0.0
-0.24904149290114294,-0.009120836210545089,0.5198361675656186,0.006500504341002869,0.55755615234375
0.09410476978165266,0.0035443247147048267,0.43743742842768085,0.007976228398591263,0.2242187500000001
-0.022056017878358973,-0.0012643271904654294,0.028751301566949085,0.000793055290748041,0.5482177734375
-0.297666099320892,-0.008939491349638817,0.29529262374354726,0.002280305975837381,0.60198974609375
-0.13575890570831065,-0.005069304786097452,0.24998231853030178,0.004439307523085948,0.6246337890625
-0.2700271019802559,-0.008953318622334736,0.5280525424582027,0.005618308505959818,0.79931640625
0.03750928930091929,0.00012714211153777347,0.047778556811215143,0.0014207686546402031,0.3029687500000001
-0.05629455923097227,-0.002457253720932382,0.23816805486428133,0.005644761830820205,0.62640380859375
-0.16781593921314208,-0.006019198593632919,0.07750844362147424,0.0014781821594070912,0.6116943359375
-0.27282046379058356,-0.009072058315587921,0.6053632322341472,0.014433941162970015,0.759765625
0.8214080867887298,0.042519426391421325,0.01128752060858277,0.0005242009660812685,0.0
-0.035489560376640285,-0.0017476357315393972,0.23193737173583356,0.005582514272367023,0.41632080078125
-0.15114475893810728,-0.0054796945252165415,0.36721386559136016,0.005675402566703811,0.42486572265625
-0.020064942229683986,-0.003763220796194569,0.005096755017154204,-0.00012879000375461702,0.8993750000000005
0.03212104642308937,9.045404122847875e-5,0.11564345161695465,0.002220708609030487,0.3017187500000001
-0.197673548847231,-0.006935930774117443,0.45260311688739313,0.006550242146402407,0.50018310546875
0.10032616848930441,0.004029536097384173,0.05473518006103864,0.0007503788709756623,0.005625
-0.020844701740855728,-0.001169564625522161,0.09399808033559169,0.0022769977560009075,0.3387451171875
-0.2614587467703325,-0.008991793800112906,0.7315686609682218,0.006514231212833584,0.747802734375
0.020405041026989007,-0.00020427828605198628,0.019625043940477444,0.0005553011093450049,0.2723437500000001
-0.26429523157983775,-0.00901436358988065,0.4951973240577694,0.009065448932949544,0.6990966796875
-0.007638249758998109,-0.0008401150421482922,0.05377533194455491,0.0013136219584784072,0.24261474609375
-0.2943332503702763,-0.009817313325215342,0.7876591300987491,0.015875531242745655,1.0
-0.2582314285631882,-0.00895711182117791,0.10212298950675908,0.0020789801037912206,0.6820068359375
-0.0071011214130670686,-0.001707274012748198,0.029401588004024884,0.001234109099070102,0.5343017578125
-0.21366110618906867,-0.006527743515389811,0.2049809494350249,0.0011075372679854698,0.38824462890625
0.0933725057420232,0.003370096462763045,0.05383830950254516,0.0006268869602208478,0.0015625
-0.021628338845294953,-0.0012036325848093564,0.21524166240959047,0.005590636316329801,0.3775634765625
0.8380571603893757,0.04478693828323525,0.08637649270979819,0.0032484193964222763,0.0
-0.2800889784951746,-0.009311713992845798,0.32664299381106765,0.005115934404343836,0.7825927734375
0.0188046865249722,0.0002515053544674125,0.09857109002985599,0.0023609670865580457,0.2071533203125
-0.2438226926080975,-0.008620679521092607,0.7714700893584265,0.007199736238888605,0.36126708984375
-0.2737180983916218,-0.009378421392974793,0.5995591442275895,0.007816312131595357,0.87127685546875
0.12532331725364854,0.005413631155310652,0.07891674933600241,0.0019207347603579874,0.021718750000000005
-0.2814585989320304,-0.009214530563791104,0.7441258569200431,0.022950842509072793,0.927490234375
0.06631592009936327,0.002411340745904158,0.014587594519454846,0.0004943855429784177,0.06796875000000002
-0.25900465116881066,-0.009035647059777335,0.09751590924443834,0.0019661245362459254,0.76312255859375
0.905171993139571,0.0465013744148509,0.026633851737640227,0.001149888774060484,0.0
-0.01535501853442449,-0.0032202313854018134,-0.0234796499497333,-0.00024393748657338475,0.8925000000000005
-0.00845222087526215,-0.0019538286325788004,-0.0007483134382214972,-2.423424172877401e-5,0.8350000000000004
0.14108093707509678,0.006269403052282757,0.07842351773918549,0.0018910340164386634,0.01734375
0.0017294284376939365,-0.0009981020020713516,0.012335382932204354,0.0005208166684542039,0.3546142578125
0.8386131086052353,0.04496581691407669,0.04044365307875199,0.0015402419462522917,0.0
-0.06621853019050512,-0.002644112720442262,0.06683327641566461,0.0008599819381100881,0.2196044921875
0.01737093459617501,-5.506686655408084e-5,0.007364439062518205,0.00030057258963319284,0.2349853515625
0.1512967063375642,0.006605581731821298,0.052796654167878536,0.0018314489819704842,0.02337646484375
-0.2765211660342739,-0.00917387391533675,0.7730465304500617,0.015577379556536678,0.81805419921875
0.7428984343203663,0.03812797986024629,0.005952628465282494,0.00025967479347786164,0.0
0.13369077359993534,0.006077715101418963,0.08765383005471718,0.001982771953340672,0.004062500000000001
-0.20609575139253622,-0.007111017589809447,0.07270412977103576,0.001053852512962501,0.521484375
0.22568411913303668,0.010994496547064704,0.007171578497317038,6.702474875455803e-5,0.0
0.014580058515772949,-0.0008366025884680614,0.00744054464960951,0.00043554391900648077,0.260986328125
-0.14585890424239087,-0.005371351118432882,0.41573575188047146,0.006306026285537359,0.45947265625
-0.25702936003552473,-0.009062497824679785,0.19885090017650303,0.0006643234275869609,0.7576904296875
0.2385207293731584,0.01179011167218344,0.010631510696609291,8.862949681730738e-5,0.00296875
-0.2913538876156158,-0.009711753388354664,0.6373880748790929,0.011092183341736027,0.94805908203125
-0.028867207742048206,-0.003606515950934563,-0.0015102353664662284,-2.860042445559731e-5,0.9965625000000005
-0.21433127819777245,-0.0070673969659885705,0.1596926542405261,0.0007616106071979996,0.11126708984375
-0.2480457685660162,-0.008964489942139905,0.4467355875470045,0.00686567798017852,0.52777099609375
-0.05667619976856728,-0.007760819518865745,0.049281645860668376,0.0026199529146622084,1.0
-0.02592764454483554,-0.003605602999610891,0.0037664515551510042,-0.0001870997347460043,0.9470312500000004
-0.2543211800698092,-0.009240830505307407,0.4581332970334358,0.006746185814851304,0.89239501953125
-0.14306189397187527,-0.005186285999932756,0.36603339350428066,0.007822356263337955,0.47296142578125
-0.12102821318906237,-0.003682499995577498,0.19282854248942133,0.0007708015934523673,0.201904296875
-0.01871685804506537,-0.0013557831777797108,0.05773374450022412,0.001339601823636103,0.2421875
-0.008929005049692238,-0.0008863892258703672,0.13577577514675263,0.005865500133943292,0.72381591796875
-0.0371290292301017,-0.0017904394079314842,0.2187464762561988,0.005596986837232565,0.5048828125
-0.022685459375961132,-0.00392767121693434,0.0005814712637495736,-2.62740308802449e-5,0.9551562500000006
-0.2622592330635973,-0.008863815773933133,0.7646047376469658,0.011673523345536941,0.6190185546875
-0.33960501756422967,-0.010297070898987898,0.3336416197950498,0.0007629985337226663,0.742919921875
0.69685490583263,0.03696645717921899,0.05459477712575409,0.0022839697908033185,0.0
0.0021693204004299225,-0.0013658218772254168,0.002365834390059006,0.00014446318898268974,0.5392187500000003
-0.05850730258860929,-0.007049569296764598,0.0028439566878247723,4.564405067633596e-5,0.9795312500000004
-0.24287907690839772,-0.0086519402752449,0.5991222968627333,0.0070645512964838345,0.43072509765625
-0.004571148533266237,-0.0007681240115203888,0.08848750320218428,0.006067179585823127,0.64288330078125
-0.25971325689570196,-0.009153498847685718,0.20510845743750192,0.0006574081158560051,0.87066650390625
-0.0685374136978294,-0.0026655684715764217,0.06565199864104046,0.0007550005020885733,0.22857666015625
-0.009645553138481748,-0.0019153306435481586,0.07276608636360359,0.0034477036938997297,0.75457763671875
-0.028087175415279764,-0.004180223078068647,0.06641281401778956,0.001774621675889537,0.8571875000000004
0.14593377170559751,0.006680113812974976,0.06235960086035881,0.0016198278906047123,0.01718750000000001
-0.18398928807836407,-0.006521114461428952,0.2845674342769363,0.005027781810703394,0.6353759765625
-0.19886122628193942,-0.0069061136775262315,0.06364330426028968,0.0008965145098848682,0.54132080078125
-0.03294614940193709,-0.004308373351145323,-0.0005843843440301934,-2.2619349373326667e-5,0.9993750000000005
0.2394434235762455,0.011898513793179256,0.002687185389760526,3.270466422584328e-5,0.0
-0.024082051433433786,-0.001351099973478424,0.17506318276577168,0.0056766352686906645,0.482177734375
0.5922379693304223,0.031437774604980005,0.08978573741557365,0.0031186450362835315,0.00048828125
-0.0980327433526961,-0.003501382530599174,0.049382813720960234,0.00042892605562698007,0.2608642578125
-0.2557423435337894,-0.008925578318796102,0.6591765537186182,0.00732414845244905,0.6151123046875
0.0322814455305032,7.665181598360113e-5,0.14953560567378346,0.003229006113995787,0.4198437500000002
-0.1561914842372142,-0.0056547916396528005,0.3560527409978838,0.006348979332958605,0.44635009765625
0.7433496273195718,0.028232092927334383,0.02024759541593752,0.000466922702591145,0.0
-0.27034809413227334,-0.009260263070126628,0.604826264348541,0.007750077174929725,0.7860107421875
-0.27831936784870404,-0.009346518692438388,0.8396358321543465,0.010208397548075359,0.859619140625
-0.25114129021156645,-0.008942628442908985,0.4645499468276179,0.007298510093628296,0.57916259765625
0.00020795774421347678,-0.0005865750679657513,0.06788117463428545,0.0016135904222741016,0.36334228515625
-0.26788414610143557,-0.009305951150854542,0.6575242987897307,0.008437085504818694,0.852783203125
-0.006514758389115518,-0.0016934070852702538,0.001581479449741341,2.5696540583184634e-6,0.8039062500000004
0.0021678920026150573,-0.0009071222308293916,0.011196971291004523,0.0004401802865254735,0.24658203125
-0.2729680914238603,-0.009329968510066757,0.7049287467060423,0.009082846197926032,0.8670654296875
-0.27933516198584646,-0.0094170642719509,0.17173561429258652,0.0003843677963856627,1.0
-0.2762597359878941,-0.009073090044091363,0.834555652924153,0.019197045633523726,0.77288818359375
-0.24879349683574367,-0.008833636339847602,0.29951967251019634,0.002548124149829071,0.415771484375
-0.31768544138747584,-0.010291888609450059,0.6057953329572513,0.015602389912309155,1.0
-0.1336679629619972,-0.004826730151923299,0.40417367782000324,0.007275054995962723,0.33746337890625
0.17684169662177646,0.008109877406287673,0.0,0.0,0.0
-0.17291518264028224,-0.00539502757378283,0.21114205314870524,0.0007740162258437391,0.28155517578125
-0.00925080121643691,-0.0021451851277252383,-0.008948833631887167,0.00021428308714320978,0.8004687500000003
-0.19112715483464648,-0.006698600471822868,0.06036411157180015,0.0008414060208336302,0.7410888671875
-0.1946713720701144,-0.006743690236064879,0.4427833503526432,0.005106385849191839,0.34747314453125
-0.017443453224763556,-0.001113191856238593,0.1754499612372739,0.005028202878178638,0.50299072265625
-0.04878841017278918,-0.004788346744237397,0.1757811421293035,0.007009840093696494,0.913818359375
-0.07113662354501148,-0.002641135837759403,0.10715777791547489,0.001287890285086227,0.20819091796875
-0.27848820425405135,-0.00811905372047003,0.1855909642729829,0.0021153008180343643,0.4700927734375
-0.23136169607031204,-0.007871288493975373,0.4483910312172484,0.00644621700636992,0.77056884765625
-0.4270026880464337,-0.013043601062238369,0.3358730876445051,0.001230234019309286,0.84930419921875
0.8393929907194139,0.044756670573106935,0.009705112079911458,0.0003737041329122686,0.0
-0.007688111051269454,-0.0020256705083043455,0.0016228676455190064,0.0003170841032779873,0.8451562500000004
-0.023237248113774193,-0.0013050602529195061,0.18861115842434176,0.006931645779126393,0.384033203125
-0.006887231179598287,-0.0017295761135837475,-0.00016860581663027006,2.8765149447860483e-5,0.7854687500000004
-0.20939702720661837,-0.007188400686138455,0.26537790308257075,0.0024033493591603394,0.2991943359375
